formula,GGA_Eg,pred_Eg,pred_Eg_std,predicted_non_metal,is_false_metal_rescued,formation_energy_per_atom,tolerance_factor,pb_fraction
Ba2PuZnO6,0.6604,2.28418,1.1390783237337097,1,0,-2.919928922,0.915079364,0.0
Ba2ReNiO6,0.0,1.169290000000001,1.0788604385646896,1,1,-2.41372324,0.939393067,0.0
Ba2ScIrO6,0.0,1.7580500000000034,1.2670143043786026,1,1,-2.789536454,0.945100194,0.0
Ba2ScNbO6,2.5719,3.66338000000001,0.7543383694337709,1,0,-3.486086823,0.929292066,0.0
Ba2ScOsO6,0.0,1.7915000000000036,1.3133947045728476,1,1,-2.889822483,0.943953227,0.0
Ba2ScReO6,0.0,1.9089900000000042,1.3156290624260323,1,1,-3.060862455,0.942809042,0.0
Ba2ScSbO6,0.0,2.190390000000004,1.059341586977496,1,1,-0.791870986,0.938259903,0.0
Ba2ScTaO6,3.0173,4.218640000000026,0.4229148264130731,1,0,-3.603269599,0.929292066,0.0
Ba2ScUO6,0.8497,2.984599999999998,1.2817214752043433,1,0,-3.684935999,0.903388454,0.0
Ba2SmMoO6,0.9311,2.7549399999999973,1.040967096694223,1,0,-3.060147231,0.843619804,0.0
Ba2SmNbO6,2.8562,3.313179999999996,0.6767357590670086,1,0,-3.40551112,0.884285424,0.0
Ba2SmOsO6,0.0726,2.3102299999999962,1.2553546897590322,1,1,-2.833577958,0.897550726,0.0
Ba2SmReO6,0.0,1.7872100000000013,1.1101456507593954,1,1,-2.989584489,0.896516205,0.0
Ba2SmSbO6,3.6097,3.5097,0.9941903179975152,1,0,-3.049988054,0.892401858,0.0
Ba2SmTaO6,3.3704,3.2704,0.6284302589786729,1,0,-3.528508829,0.884285424,0.0
Ba2SmUO6,0.8623,2.7001599999999955,1.1925521684186398,1,0,-3.604663895,0.860798428,0.0
Ba2SrIrO6,0.0,1.7460300000000015,1.0604110000844011,1,1,-2.466123837,0.825973869,0.0
Ba2SrTeO6,3.1474,3.509219999999996,1.001790792331413,1,0,-2.739947304,0.856627158,0.0
Ba2SrUO6,2.3128,3.321559999999993,1.2496205689728372,1,0,-3.51876545,0.825708556,0.0
Ba2SrWO6,3.2937,3.577279999999998,0.9493558350797666,1,0,-2.968917904,0.849145698,0.0
Ba2TaBiO6,2.69,3.1758399999999978,1.2394902962105045,1,0,-2.961060962,0.870041901,0.0
Ba2TaCoO6,1.5328,1.4327999999999999,1.4041624229411669,1,0,-2.847955883,0.975931568,0.0
Ba2TaCrO6,2.1562,3.454550000000002,0.8350215251716567,1,0,-3.169788244,0.959084413,0.0
Ba2TaFeO6,1.8623,1.7623,1.2646701378620426,1,0,-3.064079473,0.974708596,0.0
